5DQJldZiE79YW0BbHMMoYw;2,9107ms;1,5676ms;1,3431ms
E9WnmMQlo1Jw1yqwkp_GoA;1,9878ms;1,0547ms;0,9331ms
E9WnmMQlo1Jw1yqwkp_GoA;1,3039ms;0,491ms;0,8129ms
BQOiJzWjsR5hfeqeoLbbiA;2,937ms;1,5867ms;1,3503ms
5DQJldZiE79YW0BbHMMoYw;2,7672ms;1,5083ms;1,2589ms
E9WnmMQlo1Jw1yqwkp_GoA;3,2279ms;1,3881ms;1,8398ms
BQOiJzWjsR5hfeqeoLbbiA;2,9029ms;1,7648ms;1,1381ms
Wl97MJrVsLXItT_uHf5peA;16,0889ms;1,0724ms;15,0165ms
5DQJldZiE79YW0BbHMMoYw;3,2137ms;1,4558ms;1,7579ms
BQOiJzWjsR5hfeqeoLbbiA;1,2868ms;0,4003ms;0,8865ms
BQOiJzWjsR5hfeqeoLbbiA;1,0111ms;0,4345ms;0,5766ms
E9WnmMQlo1Jw1yqwkp_GoA;2,4364ms;1,4641ms;0,9723ms
5DQJldZiE79YW0BbHMMoYw;2,5344ms;1,473ms;1,0614ms
7tNFXLJAqiMzsh3Bu2WxxQ;16,344ms;1,0068ms;15,3372ms
BIZSX3aczb0WOx6Yok8Qqg;16,4634ms;1,1546ms;15,3088ms
E9WnmMQlo1Jw1yqwkp_GoA;2,533ms;1,5725ms;0,9605ms
BQOiJzWjsR5hfeqeoLbbiA;2,5511ms;1,4787ms;1,0724ms
5DQJldZiE79YW0BbHMMoYw;2,3205ms;1,5491ms;0,7714ms
E9WnmMQlo1Jw1yqwkp_GoA;2,1405ms;0,8777ms;1,2628ms
5DQJldZiE79YW0BbHMMoYw;2,0213ms;0,7249ms;1,2964ms
BQOiJzWjsR5hfeqeoLbbiA;2,3112ms;0,8148ms;1,4964ms
BQOiJzWjsR5hfeqeoLbbiA;2,6199ms;1,5181ms;1,1018ms
E9WnmMQlo1Jw1yqwkp_GoA;3,5578ms;1,5148ms;2,043ms
5DQJldZiE79YW0BbHMMoYw;1,9811ms;1,006ms;0,9751ms
